[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=0) = 0.0
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=1) = -2.0000000000000004
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=2) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=3) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=4) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=5) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=6) = -4.0
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1) = -0.219970703125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2038) = 0.052001953125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1893) = -3.41015625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1824) = -2.116943359375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1856) = -2.864501953125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2039) = 0.0361328125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1852) = -3.00732421875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1943) = -2.6748046875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1964) = -1.68603515625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1894) = -3.42724609375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1825) = -2.09814453125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1857) = -2.55322265625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2040) = 0.01171875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1853) = -2.90087890625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1944) = -2.6640625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1965) = -1.895263671875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1895) = -3.522705078125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1826) = -2.153076171875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1858) = -2.681396484375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1854) = -2.971923828125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2041) = 0.048583984375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1945) = -2.546875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1896) = -3.021240234375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1966) = -1.840576171875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1827) = -2.072265625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1859) = -2.7568359375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1855) = -3.05322265625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2042) = 0.046875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1897) = -3.442138671875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1946) = -2.752685546875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1967) = -1.733154296875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1828) = -2.1923828125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1860) = -2.681640625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2043) = -0.014892578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1856) = -2.98095703125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1898) = -3.32373046875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1968) = -1.749267578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1947) = -2.70849609375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1829) = -2.466552734375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1861) = -2.716064453125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2044) = -0.014892578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1857) = -2.9677734375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1969) = -1.82421875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1948) = -2.70556640625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1899) = -3.374267578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1830) = -2.31787109375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1858) = -2.99609375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2045) = 0.021484375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1862) = -2.47607421875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1970) = -1.752197265625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1949) = -2.714111328125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1900) = -3.3310546875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1831) = -2.27587890625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2046) = 0.01416015625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1859) = -2.7763671875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1863) = -2.537109375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1950) = -2.545166015625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1971) = -1.785400390625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1901) = -3.23828125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1832) = -2.280517578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2047) = -0.004638671875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1864) = -2.66943359375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1860) = -2.7724609375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1972) = -1.771240234375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1951) = -2.79443359375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1902) = -3.433349609375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1833) = -2.24658203125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2048) = 0.02001953125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1861) = -3.00927734375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1973) = -1.867431640625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1865) = -2.824951171875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1952) = -2.731201171875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1834) = -2.301513671875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2049) = -0.006103515625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1903) = -3.31005859375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1862) = -2.989501953125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1866) = -2.708740234375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1974) = -1.8486328125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1953) = -2.635009765625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1904) = -3.4697265625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1975) = -1.516845703125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2050) = 0.05615234375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1863) = -2.9853515625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1867) = -2.521240234375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1835) = -2.148681640625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1954) = -2.624267578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1976) = -1.579345703125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1905) = -3.528564453125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2051) = 0.066650390625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1864) = -3.056640625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1868) = -2.608642578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1836) = -2.23046875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1955) = -2.73193359375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1906) = -3.443603515625
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1977) = -1.716064453125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1865) = -3.11376953125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2052) = 0.0224609375
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1869) = -2.780029296875
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1837) = -2.2578125
[2025-10-05 22:39:12] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1956) = -2.772705078125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1978) = -1.691650390625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1907) = -3.554443359375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1866) = -3.1201171875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2053) = 0.01025390625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1870) = -2.914306640625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1838) = -2.2724609375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1957) = -2.576904296875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1908) = -3.182861328125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1979) = -1.715087890625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1867) = -2.890380859375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2054) = 0.003662109375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1871) = -2.799072265625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1958) = -2.57275390625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1839) = -2.280517578125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1909) = -3.498291015625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1980) = -1.73974609375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2055) = 0.00927734375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1872) = -2.79736328125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1868) = -2.96142578125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1959) = -2.8203125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1840) = -2.351806640625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1910) = -3.30322265625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2056) = 0.01123046875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1981) = -1.6416015625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1960) = -2.869873046875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1873) = -2.636474609375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1869) = -2.86572265625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1841) = -2.095947265625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1911) = -3.321044921875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2057) = 0.0166015625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1874) = -2.4677734375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1982) = -1.603271484375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1870) = -3.01708984375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1961) = -2.885986328125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1842) = -2.000244140625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2058) = -0.020751953125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1912) = -3.24072265625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1983) = -1.703857421875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1875) = -2.9970703125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1962) = -2.78369140625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1871) = -2.935546875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1843) = -2.212890625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1913) = -3.18896484375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1984) = -1.806396484375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1963) = -2.53515625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1876) = -2.851318359375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1872) = -2.763671875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1844) = -2.21923828125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1914) = -3.271240234375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1985) = -1.660888671875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1964) = -2.53564453125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1877) = -2.798583984375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1873) = -3.125244140625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1845) = -2.316162109375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1915) = -3.5009765625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1965) = -2.529296875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1986) = -1.6533203125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1878) = -2.810302734375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1874) = -3.04638671875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1846) = -2.237548828125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1916) = -3.24169921875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1987) = -1.63525390625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1966) = -2.6083984375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1879) = -2.93505859375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1847) = -2.133544921875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2059) = -0.00048828125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1875) = -2.9609375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1917) = -3.29931640625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1988) = -1.58349609375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1967) = -2.36962890625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1880) = -2.919677734375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2060) = 0.02587890625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1876) = -3.040283203125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1848) = -2.207275390625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1989) = -1.488037109375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1918) = -3.431396484375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1877) = -2.702880859375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1968) = -2.461181640625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2061) = -0.060546875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1881) = -2.8740234375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1849) = -2.189208984375
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1990) = -1.41357421875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1969) = -2.47314453125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1919) = -3.35400390625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2062) = -0.022705078125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1878) = -2.774658203125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1882) = -2.89404296875
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1850) = -2.303955078125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1991) = -1.538330078125
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2063) = -0.0087890625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1970) = -2.5478515625
[2025-10-05 22:39:13] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1920) = -3.275634765625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1879) = -3.2138671875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1992) = -1.65478515625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1851) = -2.272705078125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1883) = -2.757080078125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1971) = -2.424072265625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2064) = -0.05126953125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1921) = -3.10986328125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1993) = -1.950927734375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1880) = -3.094970703125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1852) = -2.111328125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1884) = -2.885009765625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1972) = -2.7099609375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2065) = -0.015380859375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1994) = -1.886962890625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1922) = -3.2060546875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1881) = -3.1298828125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2066) = 0.05322265625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1973) = -2.72998046875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1995) = -1.8427734375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1853) = -2.147216796875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1923) = -3.4267578125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1885) = -2.84521484375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1882) = -3.0703125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1996) = -1.75146484375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1854) = -2.123046875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2067) = 0.0048828125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1924) = -3.431884765625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1886) = -2.734619140625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1883) = -2.740478515625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1997) = -1.52685546875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2068) = 0.008544921875
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1884) = -2.741943359375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1855) = -2.21337890625
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1925) = -2.989990234375
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1887) = -2.850830078125
[2025-10-05 22:39:14] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1974) = -2.610107421875
